,BOO,date,month,year,season,time,lati,long,cino,ecp,mssw,pd,grade,oci,diam,cyclone_id
0,0,1.0,5.0,1982.0,2.0,300,14.0,82.5,1.5,,25.0,3.0,1.0,,,1982-1
1,0,1.0,5.0,1982.0,2.0,600,14.5,82.5,2.0,,30.0,5.0,2.0,,,1982-1
2,0,1.0,5.0,1982.0,2.0,1200,15.0,82.0,2.5,,35.0,6.0,3.0,,,1982-1
3,0,1.0,5.0,1982.0,2.0,1800,15.5,82.5,2.5,,40.0,8.0,3.0,,,1982-1
4,0,2.0,5.0,1982.0,2.0,0,16.0,83.0,3.0,,45.0,10.0,3.0,,,1982-1
5,0,2.0,5.0,1982.0,2.0,300,16.5,83.5,3.0,,45.0,10.04,3.0,,,1982-1
6,0,2.0,5.0,1982.0,2.0,600,16.5,84.0,3.5,,50.0,12.4,4.0,,,1982-1
7,0,2.0,5.0,1982.0,2.0,1200,16.5,84.5,3.5,,55.0,15.0,4.0,,,1982-1
8,0,2.0,5.0,1982.0,2.0,1800,17.0,85.0,3.5,,55.0,15.0,4.0,,,1982-1
9,0,3.0,5.0,1982.0,2.0,0,17.0,86.0,3.5,,60.0,17.85,4.0,,,1982-1
10,0,3.0,5.0,1982.0,2.0,300,17.0,86.5,4.0,,65.0,20.95,7.0,,,1982-1
11,0,3.0,5.0,1982.0,2.0,600,17.5,87.5,4.5,,80.0,31.74,7.0,,,1982-1
12,0,3.0,5.0,1982.0,2.0,1200,17.5,88.5,5.0,,90.0,40.17,7.0,,,1982-1
13,0,3.0,5.0,1982.0,2.0,1800,17.5,90.0,5.5,,105.0,54.68,7.0,,,1982-1
14,0,4.0,5.0,1982.0,2.0,0,17.5,91.0,6.0,,115.0,65.59,7.0,,,1982-1
15,0,4.0,5.0,1982.0,2.0,300,17.5,91.5,6.0,,115.0,65.59,7.0,,,1982-1
16,0,4.0,5.0,1982.0,2.0,600,17.5,92.0,6.0,,115.0,65.59,7.0,,,1982-1
17,0,4.0,5.0,1982.0,2.0,1200,17.5,93.5,6.0,,115.0,65.59,7.0,,,1982-1
18,0,4.0,5.0,1982.0,2.0,1800,17.3,94.5,,,115.0,65.59,7.0,,,1982-1
19,0,5.0,5.0,1982.0,2.0,300,17.2,98.5,,,30.0,4.46,2.0,,,1982-1
20,0,5.0,5.0,1982.0,2.0,1200,17.5,88.5,,,,,,,,1982-1
21,0,31.0,5.0,1982.0,2.0,1200,14.5,91.5,1.5,990.0,25.0,3.1,1.0,,,1982-2
22,0,31.0,5.0,1982.0,2.0,1800,19.0,91.3,2.0,988.0,30.0,4.46,2.0,,,1982-2
23,0,1.0,6.0,1982.0,0.0,300,16.0,91.0,2.5,984.0,40.0,7.93,3.0,,,1982-2
24,0,1.0,6.0,1982.0,0.0,600,16.5,91.0,2.5,984.0,40.0,7.93,3.0,,,1982-2
25,0,1.0,6.0,1982.0,0.0,1200,16.5,90.5,2.5,984.0,40.0,7.93,3.0,,,1982-2
26,0,1.0,6.0,1982.0,0.0,1800,17.0,90.0,2.5,984.0,40.0,7.93,3.0,,,1982-2
27,0,2.0,6.0,1982.0,0.0,0,19.0,88.5,2.5,984.0,40.0,7.93,3.0,,,1982-2
28,0,2.0,6.0,1982.0,0.0,300,17.5,89.5,3.0,982.0,45.0,10.04,3.0,,,1982-2
29,0,2.0,6.0,1982.0,0.0,600,17.5,89.5,3.5,982.0,45.0,10.04,3.0,,,1982-2
30,0,2.0,6.0,1982.0,0.0,1200,18.0,89.0,3.0,982.0,45.0,10.04,4.0,,,1982-2
31,0,2.0,6.0,1982.0,0.0,1800,18.5,88.5,3.0,979.0,50.0,13.0,4.0,,,1982-2
32,0,3.0,6.0,1982.0,0.0,0,19.0,88.5,3.5,976.0,55.0,16.0,4.0,,,1982-2
33,0,3.0,6.0,1982.0,0.0,300,19.0,88.0,4.0,972.0,65.0,22.0,7.0,,,1982-2
34,0,3.0,6.0,1982.0,0.0,600,19.5,87.5,4.5,960.0,80.0,31.74,7.0,,,1982-2
35,0,3.0,6.0,1982.0,0.0,900,19.5,87.5,5.0,952.0,90.0,40.17,7.0,,,1982-2
36,0,3.0,6.0,1982.0,0.0,1200,20.0,87.0,5.0,952.0,90.0,40.0,7.0,,,1982-2
37,0,3.0,6.0,1982.0,0.0,1800,21.0,86.5,5.0,952.0,90.0,40.17,7.0,,,1982-2
38,0,4.0,6.0,1982.0,0.0,0,21.5,86.0,4.0,970.0,65.0,22.0,7.0,,,1982-2
39,0,4.0,6.0,1982.0,0.0,300,22.0,85.5,3.0,982.0,45.0,10.0,3.0,,,1982-2
40,0,4.0,6.0,1982.0,0.0,600,22.5,85.0,2.5,986.0,35.0,6.0,3.0,,,1982-2
41,0,4.0,6.0,1982.0,0.0,1200,23.0,84.0,2.0,988.0,30.0,4.46,2.0,,,1982-2
42,0,4.0,6.0,1982.0,0.0,1800,24.0,82.5,2.0,988.0,30.0,4.46,2.0,,,1982-2
43,0,5.0,6.0,1982.0,0.0,0,24.5,81.0,1.5,990.0,25.0,3.0,1.0,,,1982-2
44,0,5.0,6.0,1982.0,0.0,300,25.0,81.5,1.5,991.0,20.0,3.0,1.0,,,1982-2
45,0,18.0,7.0,1982.0,0.0,300,18.0,88.0,1.5,,25.0,4.0,1.0,,,1982-3
46,0,18.0,7.0,1982.0,0.0,1200,18.3,87.0,2.0,,30.0,5.0,2.0,,,1982-3
47,0,18.0,7.0,1982.0,0.0,1800,18.4,86.5,2.0,,30.0,5.0,2.0,,,1982-3
48,0,19.0,7.0,1982.0,0.0,0,18.5,86.0,2.0,,30.0,5.0,2.0,,,1982-3
49,0,19.0,7.0,1982.0,0.0,300,18.5,86.0,2.0,,30.0,5.0,2.0,,,1982-3
50,0,19.0,7.0,1982.0,0.0,600,18.7,85.8,2.0,,30.0,5.0,2.0,,,1982-3
51,0,19.0,7.0,1982.0,0.0,1200,19.0,85.5,1.5,,25.0,4.0,1.0,,,1982-3
52,0,20.0,7.0,1982.0,0.0,0,19.5,85.0,1.5,,20.0,3.0,1.0,,,1982-3
53,0,20.0,7.0,1982.0,0.0,300,,,,,,,,,,1982-3
54,0,12.0,8.0,1982.0,0.0,300,20.0,88.5,1.5,,25.0,3.1,1.0,,,1982-4
55,0,12.0,8.0,1982.0,0.0,1200,20.5,87.5,1.5,,25.0,3.1,1.0,,,1982-4
56,0,12.0,8.0,1982.0,0.0,1800,20.5,87.0,1.5,,25.0,3.1,1.0,,,1982-4
57,0,13.0,8.0,1982.0,0.0,0,,,,,,,,,,1982-4
58,0,18.0,8.0,1982.0,0.0,300,21.0,88.0,,,25.0,3.0,1.0,,,1982-5
59,0,18.0,8.0,1982.0,0.0,1200,21.5,87.5,,,25.0,3.0,1.0,,,1982-5
60,0,19.0,8.0,1982.0,0.0,300,22.0,86.5,,,25.0,3.0,1.0,,,1982-5
61,0,19.0,8.0,1982.0,0.0,1200,22.2,86.0,,,25.0,3.0,1.0,,,1982-5
62,0,20.0,8.0,1982.0,0.0,300,,,,,,,,,,1982-5
63,0,27.0,8.0,1982.0,0.0,300,19.0,88.5,1.5,,25.0,3.0,1.0,,,1982-6
64,0,27.0,8.0,1982.0,0.0,1200,20.0,88.0,1.5,,25.0,4.0,1.0,,,1982-6
65,0,28.0,8.0,1982.0,0.0,300,21.0,88.0,1.5,,25.0,4.0,1.0,,,1982-6
66,0,28.0,8.0,1982.0,0.0,1200,21.2,87.7,1.5,,25.0,4.0,1.0,,,1982-6
